Her stepfather is a carpenter and her father , who died , worked in an oil refinery . ||| Su padre es un carpintero y su padre, que murió, trabajó en una refinería de petróleo.
Her father was a carpenter and her mother a housewife . ||| Su padre era un carpintero y su madre una casa.
The ships carpenter reported that she would not last more than six months . ||| El carpintero de barcos informó que no duraría más de seis meses.
According to Graves , a pregnant Mary is compelled to pretend to marry an old , pious carpenter , Joseph , to protect herself and the unborn Jesus .. ||| De acuerdo con Graves, una mujer embarazada está obligada a pretender casarse con un viejo, pio carpintero, José, para protegerse a sí misma y al no nacido Jesús.
Her father worked as a carpenter and her mother was a teacher . ||| Su padre trabajó como carpintero y su madre era un maestro.
His father , Mr. Sutchai , is a carpenter and his mother Ms. Somphon , is a practical nurse . ||| Su padre, el señor Sutchai, es un carpintero y su madre, la señora Somphon, es una enfermera práctica.
Wilhelm Maybach was born in Heilbronn , Baden - Württemberg in 1846 , the son of a carpenter and his wife Luise . ||| Wilhelm Maybach nació en Heilbronn, Baden-Württemberg en 1846, el hijo de un carpintero y su esposa Luise.
Osewold the Reeve , who had originally been a carpenter himself , shouts out his immediate objection to such ridicule , and protests that the tale will insult carpenters and wives , but the Miller insists on proceeding with his tale . ||| Osewold el Reeve, que originalmente había sido un carpintero mismo, grita su inmediata objeción a tal ridículo, y protestas que la historia insultará a los carpinteros y a las esposas, pero el Miller insiste en continuar con su historia.
The carpenter reported that he had heard machinery operating towards the stern of the ship , but it was not clear whether this might have been the site diesel generator which ran at all times . ||| El carpenter informó que había oído que la máquina operaba hacia la esterna del barco, pero no era claro si esto podría haber sido el generador de diésel que corrió en todo momento.
Though a carpenter will typically fashion handles and woodblocks and set and sharpen his blades himself , the blades themselves are forged by steel smiths and provided unmounted to the carpenter . ||| A pesar de que un carpintero tipicamente tendrán manchas de moda y bloques de madera y se ponen y se agarran sus hojas, las hojas en sí son forjadas por las escombros de acero y se proporcionan sin montaje al carpintero.
[ [ Richard Hauptmann ] ] , a 34-year - old German immigrant carpenter , was arrested near his home in [ [ the Bronx ] ] , New York , on , 1934 , after paying for gasoline with one of the ransom bills . ||| [ [ Richard Hauptmann ], un carpintero inmigrante alemán de 34 años, fue arrestado cerca de su casa en [ [ el Bronx ], Nueva York, en, 1934, después de pagar por la gasolina con una de las facturas de rescate.
A 30-year-old carpenter suffered accidental piercing of his jaw by a 3-inch nail from a nail gun . ||| Un carpintero de 30 años sufrió una perforación accidental de su ganado por un agujero de 3 pulgadas de una pistola de agujero.
The company was established in 1907 by a Norwegian immigrant and carpenter Carl E. Overaa , who committed himself to rebuilding the Bay Area after the San Francisco earthquake of 1906 . ||| La compañía fue fundada en 1907 por un inmigrante y carpenter noruego Carl E. Overaa, que se comprometió a reconstruir la zona de la bahía después del terremoto de San Francisco de 1906.
This artisanal mastery was becoming an anachronism by the time of Cornett 's life , yet the carpenter stubbornly kept at his craft , enduring considerable poverty in consequence . ||| Este maestro artesanal se convirtió en un anacronismo en el tiempo de la vida de Cornett, sin embargo, el carpintero duramente se mantuvo en su trayectoria, soportando considerable pobreza en consecuencia.
The carpenter aboard " Reniera e Soderina " confronted his captain , telling him to surrender or face a mutiny . ||| El carpintero a bordo de "Reniera e Soderina" se enfrentó a su capitán, diciendo que se entregó o se enfrentó a un mutino.
