Her stepfather is a carpenter and her father , who died , worked in an oil refinery . ||| Su padrastro es carpintero y su padre, que murió, trabajó en una refinería de petróleo.
Her father was a carpenter and her mother a housewife . ||| Su padre era carpintero y su madre ama de casa.
The ships carpenter reported that she would not last more than six months . ||| El carpintero de barcos informó que no duraría más de seis meses.
According to Graves , a pregnant Mary is compelled to pretend to marry an old , pious carpenter , Joseph , to protect herself and the unborn Jesus .. ||| De acuerdo con Graves, una María embarazada se ve obligada a pretender casarse con un viejo, carpintero piadoso, José, para protegerse a sí misma y al Jesús no nacido..
Her father worked as a carpenter and her mother was a teacher . ||| Su padre trabajaba como carpintero y su madre era maestra.
His father , Mr. Sutchai , is a carpenter and his mother Ms. Somphon , is a practical nurse . ||| Su padre, el Sr. Sutchai, es un carpintero y su madre, la Sra. Somphon, es una enfermera práctica.
Wilhelm Maybach was born in Heilbronn , Baden - Württemberg in 1846 , the son of a carpenter and his wife Luise . ||| Wilhelm Maybach nació en Heilbronn, Baden - Württemberg en 1846, el hijo de un carpintero y su esposa Luise.
Osewold the Reeve , who had originally been a carpenter himself , shouts out his immediate objection to such ridicule , and protests that the tale will insult carpenters and wives , but the Miller insists on proceeding with his tale . ||| Osewold el Reeve, que originalmente había sido un carpintero mismo, grita su objeción inmediata a tal ridículo, y protestas que la historia insultará carpinteros y esposas, pero el Miller insiste en seguir con su historia.
The carpenter reported that he had heard machinery operating towards the stern of the ship , but it was not clear whether this might have been the site diesel generator which ran at all times . ||| El carpintero informó que había oído la maquinaria que funcionaba hacia la popa de la nave, pero no estaba claro si este podría haber sido el generador diesel sitio que funcionó en todo momento.
Though a carpenter will typically fashion handles and woodblocks and set and sharpen his blades himself , the blades themselves are forged by steel smiths and provided unmounted to the carpenter . ||| Aunque un carpintero suele hacer manijas y bloques de madera y establecer y afilar sus propias cuchillas, las propias cuchillas son forjadas por herreros de acero y proporcionado sin montar al carpintero.
[ [ Richard Hauptmann ] ] , a 34-year - old German immigrant carpenter , was arrested near his home in [ [ the Bronx ] ] , New York , on , 1934 , after paying for gasoline with one of the ransom bills . ||| [ [ Richard Hauptmann ] ], un carpintero inmigrante alemán de 34 años, fue arrestado cerca de su casa en [ [ el Bronx ] ], Nueva York, el, 1934, después de pagar la gasolina con uno de los billetes de rescate.
