The cook says that she can stay if she wants , but Hushpuppy says that she ' s got to go home . ||| El cocinero dice que puede permanecer si quiere, pero Hushpuppy dice que tiene que ir a casa.
The South Australian cook Maggie Beer has popularised the use of verjuice in her cooking and it is being used increasingly in South Australian restaurants . ||| La cocinera australiana Maggie Beer ha popularizado el uso de verrugas en su cocina y se está utilizando cada vez más en los restaurantes australianos del sur.
The cook set out herself . ||| El cocinero se define.
Camp cook , Juanita -LRB- Virginia Mendoza -RRB- becomes scared , thinking Trevor Moorehouse murdered James , and so decides she will leave the camp later that day . ||| Camp cocinero, Juanita -LRB- Virginia Mendoza -RRB- se teme, pensando que Trevor Moorehouse mató a James, y así decide que dejará el campamento más tarde ese día.
Because she helps lay the fires , the palace cook nicknamed her " Embers " ( she is , of course , the Discworld version of Cinderella , although the full nickname " Emberella " is referred to as sounding " like something you 'd put up in the rain " ) . ||| Debido a que ella ayuda a derramar los fuegos, la cocinera del palacio la nombró " Embers " ( ella es, por supuesto, la versión Discworld de Cinderella, aunque el nombre completo " Emberella " se refiere a sonar " como algo que usted 'deba poner en la lluvia " ).
In the hierarchy of domestic service , a cook usually earned her position through apprenticeship , perhaps beginning in service as a kitchen maid . ||| En la jerarquía del servicio doméstico, un cocinero generalmente ganó su posición a través de la aprendizaje, particularmente comenzando en servicio como maid de cocina.
Buccola who arrived from Italy with his cook and her husband to take the reins of the New England Mafia . ||| Buccola que llegó de Italia con su cocinero y su marido para tomar los riñones de la Mafia de Nueva Inglaterra.
The New Zealand cook and author Annabel Langbein , who owns a small estate at the side of the lake , filmed her series " The Free Range Cook " and " Simple Pleasures " here . ||| El cocinero y autor de Nueva Zelanda Annabel Langbein, que posee una pequeña propiedad al lado del lago, filmó sus series " The Free Range Cook " y " Simple Pleasures " aquí.
As she recalled in an interview , `` I had to go home , take care of my family , cook and clean , and all of those things '' . ||| Como recordó en una entrevista, “he tenido que ir a casa, cuidar de mi familia, cocinar y limpiar, y todas esas cosas”.
Both of Guerrero ’s parents worked in a priory of the Trinitarian friars in Seville , her father as a cook and her mother as a laundress and seamstress . ||| Ambos padres de Guerrero trabajaron en un preludio de los fríos Trinitaros en Sevilla, su padre como cocinero y su madre como lavandería y marinería.
Mexican cook and author Josefina Velázquez de León wrote more than 140 cookbooks in her lifetime . ||| Cocinero mexicano y autor Josefina Velázquez de León escribió más de 140 libros de cocina en su vida.
She was giving casual public performances by the spring of 1908 , when she played the accordion at the logging camp where she worked as a cook and her father as a lumberjack . ||| Ella estaba dando actuaciones públicas aleatorias en la primavera de 1908, cuando jugó la concordia en el campamento donde trabajó como cocinera y su padre como lombero.
Mrs Caroline Hordern was a keen cook and the two - storey kitchen wing was heavily influenced by her . ||| La señora Caroline Hordern era una cocinera aficionada y las dos alas de la cocina se influyeron fuertemente por ella.
As a result , the members of the former high - born Southern family take the servant positions , with Claudia as cook , her sister Elizabeth as maid , and her brothers as a butler and general worker . ||| Como resultado, los miembros de la antigua familia alta - nacida Sur toman las posiciones de siervo, con Claudia como cocinero, su hermana Elizabeth como maida, y sus hermanos como butler y trabajador general.
Papa Threadgoode gives Idgie money to start a business so she can care for Ruth and Buddy Jr. She and Ruth open the Whistle Stop Cafe , employing the family cook , Sipsey , and her son , Big George , who excels with a barbecue that becomes popular with their patrons . ||| Papa Threadgoode da a Idgie dinero para comenzar un negocio para que pueda cuidar de Ruth y Buddy Jr. Ella y Ruth abren el Whistle Stop Cafe, empleando al cocinero familiar, Sipsey, y su hijo, Big George, que excele con un barbecue que se convierte en popular con sus patrones.
Aside from the cook herself , the only person who can stomach Asahi 's cuisine is Gohgei , a young monk who watched over her as a child . ||| Además del cocinero mismo, la única persona que puede estómago de la cocina de Asahi es Gohgei, un joven monje que la miró como un niño.
