The cook says that she can stay if she wants , but Hushpuppy says that she ' s got to go home . ||| La cocinera dice que puede quedarse si quiere, pero Hushpuppy dice que tiene que irse a casa.
The South Australian cook Maggie Beer has popularised the use of verjuice in her cooking and it is being used increasingly in South Australian restaurants . ||| La cocinera de Australia del Sur Maggie Beer ha popularizado el uso del verjugo en su cocina y se está utilizando cada vez más en los restaurantes de Australia del Sur.
The cook set out herself . ||| La cocinera se puso en marcha.
Camp cook , Juanita -LRB- Virginia Mendoza -RRB- becomes scared , thinking Trevor Moorehouse murdered James , and so decides she will leave the camp later that day . ||| Camp cook, Juanita -LRB- Virginia Mendoza -RRB- se asusta, pensando Trevor Moorehouse asesinó a James, y así decide que saldrá del campamento más tarde ese día.
Because she helps lay the fires , the palace cook nicknamed her " Embers " ( she is , of course , the Discworld version of Cinderella , although the full nickname " Emberella " is referred to as sounding " like something you 'd put up in the rain " ) . ||| Debido a que ella ayuda a poner los fuegos, la cocinera del palacio apodó a su " Embers " (ella es, por supuesto, la versión de Discworld de Cenicienta, aunque el apodo completo " Emberella " se conoce como sonando " como algo que se pondría en la lluvia " ).
In the hierarchy of domestic service , a cook usually earned her position through apprenticeship , perhaps beginning in service as a kitchen maid . ||| En la jerarquía del servicio doméstico, una cocinera generalmente se ganó su puesto a través del aprendizaje, tal vez comenzando en el servicio como una criada de cocina.
Buccola who arrived from Italy with his cook and her husband to take the reins of the New England Mafia . ||| Buccola que llegó de Italia con su cocinera y su marido para tomar las riendas de la mafia de Nueva Inglaterra.
The New Zealand cook and author Annabel Langbein , who owns a small estate at the side of the lake , filmed her series " The Free Range Cook " and " Simple Pleasures " here . ||| La cocinera y autora neozelandesa Annabel Langbein, que posee una pequeña finca al lado del lago, filmó su serie "The Free Range Cook" y "Simple Pleasures" aquí.
As she recalled in an interview , `` I had to go home , take care of my family , cook and clean , and all of those things '' . ||| Como recordó en una entrevista, ``Tuve que ir a casa, cuidar de mi familia, cocinar y limpiar, y todas esas cosas ''.
Both of Guerrero ’s parents worked in a priory of the Trinitarian friars in Seville , her father as a cook and her mother as a laundress and seamstress . ||| Ambos padres de Guerrero trabajaron en un priorato de los frailes trinitarios en Sevilla, su padre como cocinera y su madre como lavandera y costurera.
Mexican cook and author Josefina Velázquez de León wrote more than 140 cookbooks in her lifetime . ||| La cocinera y escritora mexicana Josefina Velázquez de León escribió más de 140 libros de cocina en su vida.
