Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's madre es un diseñador de joyas y su padre es un abogado.
Tsukiko Sagi , a shy character designer who created the immensely popular pink dog Maromi , finds herself under pressure to repeat her success . ||| Tsukiko Sagi, una tímida diseñadora de personajes que creó el inmensamente popular perro rosa Maromi, se encuentra bajo presión para repetir su éxito.
Costume designer Julie Weiss was also nominated for her work , but lost out to James Acheson of " Restoration " . ||| La diseñadora de vestuario Julie Weiss también fue nominada para su trabajo, pero perdió ante James Acheson de " Restauración ".
This event cemented the growing partnership with Stella Jean , as the designer is expanding her work to more countries where the Initiative works : ||| Este evento consolidó la creciente asociación con Stella Jean, ya que la diseñadora está ampliando su trabajo a más países donde trabaja la Iniciativa :
The designer opened her first retail location in 1992 at 113 Greene Street in New York City 's Soho District . ||| La diseñadora abrió su primera ubicación comercial en 1992 en 113 Greene Street en el distrito Soho de Nueva York.
The designer of Dior Fine Jewelry Victoire de Castellane launched her own watch named " Le D de Dior " ( French : " The D of Dior " ) . ||| La diseñadora de Dior Fine Jewelry Victoire de Castellane lanzó su propio reloj llamado " Le D de Dior " (en francés: " The D of Dior " ).
Today she is looking to sell off its Donna Karan business , less than a year after the fashion designer stepped down from her namesake brand . ||| Hoy está buscando vender su negocio Donna Karan, menos de un año después de que el diseñador de moda dimitió de su marca homónimo.
Paris was the final destination during the winter show season and British designer Vivienne Westwood made her the lead model in her show . ||| París fue el destino final durante la temporada de exposición de invierno y la diseñadora británica Vivienne Westwood la hizo la modelo principal en su espectáculo.
was a British costume designer , who was nominated for Academy Awards for her designs on " Agatha " ( 1979 ) and " Reds " ( 1981 ) . ||| fue un diseñador de vestuario británico, que fue nominado a los Premios de la Academia por sus diseños en " Agatha " ( 1979) y " Reds " ( 1981).
From that time the designer choosed her very individual way supperted by strong partners such as The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020 . ||| A partir de ese momento el diseñador eligió su manera muy individual cenado por fuertes socios como El Cine Espacial en Piazza Duomo e la Rinascente Milano en febrero de 2020.
Designer Patricia Zipprodt was nominated for a Tony Award and Drama Desk Award for her costume designs on the “ Alice in Wonderland ” revival . ||| Diseñadora Patricia Zipprodt fue nominada para un Tony Award y Drama Desk Award por sus diseños de vestuario en el renacimiento de “Alice in Wonderland ”.
The designer also created a line of home accessories called Swell , based on a book series she co - wrote with friend Ilene Rosenzweig , which made its debut at Target in 2003 . ||| El diseñador también creó una línea de accesorios para el hogar llamada Swell, basado en una serie de libros que co - escribió con la amiga Ilene Rosenzweig, que hizo su debut en Target en 2003.
Her father , Raymond W. Lewis , Jr. , was an aerospace designer and her mother , Dorothy Borwick Lewis McIntyre a recreation director . ||| Su padre, Raymond W. Lewis, Jr., fue un diseñador aeroespacial y su madre, Dorothy Borwick Lewis McIntyre un director de recreación.
Superstitious , she also insisted on dressing room 55 because that was her lucky number and required that Hubert de Givenchy , her long - time designer , be given a credit in the film for her perfume . ||| Superstitious, ella también insistió en el vestidor 55 porque era su número de la suerte y requería que Hubert de Givenchy, su diseñador de mucho tiempo, se le da un crédito en la película para su perfume.
A self - taught clothing designer , Immonen opened her first design boutique in Helsinki during World War II in 1942 which grew into a success despite the shortages of the ensuing years . ||| Un diseñador de ropa autodidacta, Immonen abrió su primera boutique de diseño en Helsinki durante la Segunda Guerra Mundial en 1942, que creció hasta convertirse en un éxito a pesar de la escasez de los años siguientes.
Her mother is a graphic designer and her father , who died when Carré was a teenager , was a designer and forensic animator . ||| Su madre es una diseñadora gráfica y su padre, que murió cuando Carré era un adolescente, era un diseñador y animador forense.
French designer and art collector Hubert de Givenchy worked with Lane on her first major coverage of European art and the art market . ||| Diseñador francés y coleccionista de arte Hubert de Givenchy trabajó con Lane en su primera gran cobertura del arte europeo y el mercado del arte.
A Jewish interior designer living in New York City , she lives with her gay best friend , Will Truman ( played by Eric McCormack ) , for a majority of the series . ||| Una diseñadora de interiores judía que vive en la ciudad de Nueva York, ella vive con su mejor amigo gay, Will Truman (interpretado por Eric McCormack), para la mayoría de la serie.
