Mannara 's mother is a jewellery designer and her father is a lawyer . ||| La madre de Mannara es un diseñador de joyas y su padre es un abogado.
Tsukiko Sagi , a shy character designer who created the immensely popular pink dog Maromi , finds herself under pressure to repeat her success . ||| Tsukiko Sagi, un diseñador de personajes tímido que creó el inmensamente popular perro rosa Maromi, se encuentra bajo presión para repetir su éxito.
Costume designer Julie Weiss was also nominated for her work , but lost out to James Acheson of " Restoration " . ||| Designer de costumbre Julie Weiss también fue nominada para su trabajo, pero se perdió a James Acheson de "Restauración".
This event cemented the growing partnership with Stella Jean , as the designer is expanding her work to more countries where the Initiative works : ||| Este evento cementó la creciente asociación con Stella Jean, ya que el diseñador está expandiendo su trabajo a más países donde la Iniciativa funciona :
The designer opened her first retail location in 1992 at 113 Greene Street in New York City 's Soho District . ||| El diseñador abrió su primera ubicación de alquiler en 1992 en 113 Greene Street en el distrito de Soho de Nueva York.
The designer of Dior Fine Jewelry Victoire de Castellane launched her own watch named " Le D de Dior " ( French : " The D of Dior " ) . ||| La diseñadora de Dior Fine Jewelry Victoire de Castellane lanzó su propio reloj llamado “Le D de Dior” (en francés: “El D de Dior”).
Today she is looking to sell off its Donna Karan business , less than a year after the fashion designer stepped down from her namesake brand . ||| Hoy está buscando vender su negocio Donna Karan, menos de un año después de que el diseñador de moda se retirara de su marca de nombre.
Paris was the final destination during the winter show season and British designer Vivienne Westwood made her the lead model in her show . ||| París fue el destino final durante la temporada de espectáculo de invierno y el diseñador británico Vivienne Westwood la hizo el modelo principal en su espectáculo.
was a British costume designer , who was nominated for Academy Awards for her designs on " Agatha " ( 1979 ) and " Reds " ( 1981 ) . ||| fue una diseñadora de costumbre británica, que fue nominada para los Premios de la Academia por sus diseños en " Agatha " ( 1979 ) y " Red " ( 1981 ).
From that time the designer choosed her very individual way supperted by strong partners such as The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020 . ||| A partir de entonces, la diseñadora la escogió de manera muy individual apoyada por socios fuertes como The Space Cinema en la Piazza Duomo e la Rinascente Milano en febrero de 2020.
Designer Patricia Zipprodt was nominated for a Tony Award and Drama Desk Award for her costume designs on the “ Alice in Wonderland ” revival . ||| Designer Patricia Zipprodt fue nominada para un Tony Award y Drama Desk Award por sus diseños de costumbre en la revival “Alice en el país de las maravillas”.
The designer also created a line of home accessories called Swell , based on a book series she co - wrote with friend Ilene Rosenzweig , which made its debut at Target in 2003 . ||| El diseñador también creó una línea de accesorios domésticos llamados Swell, basada en una serie de libros que ella co-escribió con su amiga Ilene Rosenzweig, que hizo su debut en Target en 2003.
Her father , Raymond W. Lewis , Jr. , was an aerospace designer and her mother , Dorothy Borwick Lewis McIntyre a recreation director . ||| Su padre, Raymond W. Lewis, Jr., era un diseñador aeroespacial y su madre, Dorothy Borwick Lewis McIntyre, un director recreativo.
Superstitious , she also insisted on dressing room 55 because that was her lucky number and required that Hubert de Givenchy , her long - time designer , be given a credit in the film for her perfume . ||| Superstitious, ella también insistió en la habitación 55 porque era su número afortunado y exigía que Hubert de Givenchy, su diseñador de tiempo largo, fuera otorgado un crédito en la película para su perfume.
