Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's mère est une joaillerie designer et son père est un avocat.
Tsukiko Sagi , a shy character designer who created the immensely popular pink dog Maromi , finds herself under pressure to repeat her success . ||| Tsukiko Sagi, une créatrice de personnage timide qui a créé le chien rose immensement populaire Maromi, se retrouve sous pression pour répéter son succès.
Costume designer Julie Weiss was also nominated for her work , but lost out to James Acheson of " Restoration " . ||| Costume designer Julie Weiss a également été nommé pour son travail, mais a perdu à James Acheson de " Restauration ".
This event cemented the growing partnership with Stella Jean , as the designer is expanding her work to more countries where the Initiative works : ||| Cet événement a cimenté le partenariat croissant avec Stella Jean, alors que la designer étend son travail à plus de pays où l'Initiative travaille :
The designer opened her first retail location in 1992 at 113 Greene Street in New York City 's Soho District . ||| La designer a ouvert son premier site de vente au détail en 1992 au 113 Greene Street dans le quartier Soho de New York.
The designer of Dior Fine Jewelry Victoire de Castellane launched her own watch named " Le D de Dior " ( French : " The D of Dior " ) . ||| La créatrice de Dior Fine Bijoux Victoire de Castellane a lancé sa propre montre intitulée " Le D de Dior ".
Today she is looking to sell off its Donna Karan business , less than a year after the fashion designer stepped down from her namesake brand . ||| Aujourd'hui, elle cherche à vendre son entreprise Donna Karan, moins d'un an après que la créatrice de mode a quitté sa marque de nommage.
Paris was the final destination during the winter show season and British designer Vivienne Westwood made her the lead model in her show . ||| Paris a été la destination finale pendant la saison des spectacles d'hiver et la designer britannique Vivienne Westwood a fait d'elle le modèle principal dans son spectacle.
was a British costume designer , who was nominated for Academy Awards for her designs on " Agatha " ( 1979 ) and " Reds " ( 1981 ) . ||| était une créatrice de costumes britannique, qui a été nommée pour les Oscars pour ses dessins sur " Agatha " ( 1979 ) et " Reds " ( 1981 ).
From that time the designer choosed her very individual way supperted by strong partners such as The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020 . ||| À partir de ce moment la designer a choisi sa manière très individuelle dîner par des partenaires forts tels que The Space Cinema in Piazza Duomo e la Rinascente Milano en février 2020.
Designer Patricia Zipprodt was nominated for a Tony Award and Drama Desk Award for her costume designs on the “ Alice in Wonderland ” revival . ||| La créatrice Patricia Zipprodt a été nominée pour un Tony Award et Drama Desk Award pour ses costumes sur le renouveau d'Alice au pays des merveilles.
The designer also created a line of home accessories called Swell , based on a book series she co - wrote with friend Ilene Rosenzweig , which made its debut at Target in 2003 . ||| La designer a également créé une ligne d'accessoires de maison appelé Swell, basé sur une série de livres qu'elle a co - écrit avec l'ami Ilene Rosenzweig, qui a fait ses débuts à Target en 2003.
Her father , Raymond W. Lewis , Jr. , was an aerospace designer and her mother , Dorothy Borwick Lewis McIntyre a recreation director . ||| Son père, Raymond W. Lewis, Jr., était une aérospatiale designer et sa mère, Dorothy Borwick Lewis McIntyre un directeur de loisirs.
Superstitious , she also insisted on dressing room 55 because that was her lucky number and required that Hubert de Givenchy , her long - time designer , be given a credit in the film for her perfume . ||| Superstitieuse, elle a également insisté sur la loge 55 parce que c'était son numéro de chance et a exigé que Hubert de Givenchy, son designer de longue date, soit crédité dans le film pour son parfum.
A self - taught clothing designer , Immonen opened her first design boutique in Helsinki during World War II in 1942 which grew into a success despite the shortages of the ensuing years . ||| Une créatrice de vêtements autodidacte, Immonen a ouvert sa première boutique de design à Helsinki pendant la Seconde Guerre mondiale en 1942 qui est devenue un succès malgré les pénuries des années suivantes.
Her mother is a graphic designer and her father , who died when Carré was a teenager , was a designer and forensic animator . ||| Sa mère est une graphiste et son père, qui est mort quand Carré était un adolescent, était un concepteur et animateur médico-légal.
French designer and art collector Hubert de Givenchy worked with Lane on her first major coverage of European art and the art market . ||| Créateur et collectionneur d'art français Hubert de Givenchy a travaillé avec Lane sur sa première couverture majeure de l'art européen et du marché de l'art.
A Jewish interior designer living in New York City , she lives with her gay best friend , Will Truman ( played by Eric McCormack ) , for a majority of the series . ||| Une designer d'intérieur juive vivant à New York, elle vit avec son meilleur ami gay, Will Truman ( joué par Eric McCormack ), pour une majorité de la série.
The fashion designer Izawa had made the long journey down with her own handmade wedding dress with the intention of fulfill the couple 's plans of marriage . ||| La créatrice de mode Izawa avait fait le long voyage vers le bas avec sa propre robe de mariée fait main dans l'intention de remplir les plans du couple de mariage.
Her mother , Patricia MacTaggart , is a London - based interior designer and her father , Xavier Botana , is an Argentinian artist who lives in Buenos Aires . ||| Sa mère, Patricia MacTaggart, est une designer d'intérieur basée à Londres et son père, Xavier Botana, est une artiste argentine qui vit à Buenos Aires.
The designer identified Sévérine through her sexuality , and wanted to showcase the character as " sexy and exceptional and dark " by having her appear as naked as possible . ||| La créatrice a identifié Sévérine à travers sa sexualité, et a voulu présenter le personnage comme " sexy et exceptionnel et sombre " en la faisant apparaître aussi nue que possible.
In 1926 , in her first year as a student at the famous Bauhaus design school in Dessau , Germany , the textile designer Margaretha Reichardt undertook a preliminary course run by Josef Albers and László Moholy - Nagy . ||| En 1926, dans sa première année d'études à la célèbre école de design Bauhaus à Dessau, en Allemagne, la designer textile Margaretha Reichardt a entrepris un cours préliminaire dirigé par Josef Albers et László Moholy - Nagy.
Her mother is a fashion designer and her father works in the construction industry . ||| Sa mère est une créatrice de mode et son père travaille dans l'industrie de la construction.
