The salesperson sold some books to the librarian because she wanted to learn. ||| La salesperson a vendu quelques livres au bibliothécaire parce qu'elle voulait apprendre.
The janitor cleaned the librarian 's room and she was grateful. ||| Le janitor a nettoyé la pièce de la bibliothèque et elle était reconnaissante.
The librarian helped the CEO to find the book because it is her job. ||| La bibliothécaire a aidé le PDG à trouver le livre parce que c'est son travail.
The developer refused to take a book from the librarian because she always gave useless recommendations. ||| Le développeur a refusé de prendre un livre de la bibliothèque parce qu'elle a toujours donné des recommandations inutiles.
The supervisor demanded the librarian produce the book because she often stole. ||| Le superviseur a demandé à la bibliothécaire de produire le livre parce qu'elle vole souvent.
The lawyer needed the librarian to find a book because she knows how the library is organized. ||| L'avocat a besoin de la bibliothèque pour trouver un livre parce qu'elle sait comment la bibliothèque est organisée.
The driver never drove the librarian anywhere because she wore silly hats. ||| Le chauffeur n’a jamais conduit la bibliothèque nulle part parce qu’elle portait des chapeaux stupides.
The cook secretly stole the librarian 's books to make her less trusting. ||| La cuisinière vole secrètement les livres de la bibliothèque pour la rendre moins fiable.
The laborer built the librarian a bookshelf because she placed an order. ||| La travailleuse a construit une librairie à la bibliothèque parce qu'elle a placé une commande.
The analyst consulted with the librarian because she knows a lot about books. ||| L'analyste a consulté la bibliothèque parce qu'elle sait beaucoup sur les livres.
The guard asked the librarian to leave because it was late and she looked really tired. ||| La garde a demandé à la bibliothèque de partir parce qu'il était trop tard et elle a l'air vraiment fatiguée.
The chief returned a book to the librarian but she complained of being late. ||| Le chef a retourné un livre à la bibliothèque mais elle s'est plainte d'être tard.
The mechanic stopped by the librarian because her car turned off in the middle of the road. ||| La mécanique a été arrêtée par la bibliothèque parce que sa voiture s'est éteinte au milieu de la route.
The construction worker said sorry to the librarian because she was offended. ||| Le travailleur de la construction a excusé le bibliothèque parce qu'elle a été offensée.
The carpenter always asks the librarian for help because she knows a lot of words. ||| Le carpenter demande toujours l'aide de la bibliothèque parce qu'elle connaît beaucoup de mots.
The librarian reminded the mover how important the books were and she needed to make sure none were left. ||| La bibliothécaire a rappelé au mouvement l'importance des livres et elle a besoin de s'assurer qu'aucun n'a été laissé.
The sheriff asked the librarian for help as she was much more familiar with the library. ||| Le sheriff a demandé à la bibliothécaire de l'aide car elle était beaucoup plus familière avec la bibliothèque.
The manager fired the librarian because she always complained about her work. ||| Le gestionnaire a licencié la bibliothèque parce qu'elle a toujours plaint de son travail.
The physician examined the librarian for eye problems because she read too much. ||| Le médecin a examiné la bibliothèque pour des problèmes oculaires parce qu'elle lit trop.
When the winter comes, the farmer visited the librarian frequently because of her hot chocolate. ||| Lorsque l'hiver arrive, l'agriculteur a fréquemment visité la bibliothèque à cause de son chocolat chaud.
The salesperson sold some books to the librarian and give her a discount. ||| La salesperson a vendu quelques livres au bibliothécaire et lui a donné un rabais.
The janitor cleaned the librarian 's room and told her it is ready. ||| Le janitor a nettoyé la pièce de la bibliothèque et lui a dit qu'elle était prête.
The CEO stared at the librarian and asked her for a dinner. ||| Le PDG regarda la bibliothèque et la demanda pour un dîner.
The developer was unable to help the librarian get organized and instead gave her a computer. ||| Le développeur était incapable d'aider la bibliothèque à s'organiser et lui a plutôt donné un ordinateur.
The supervisor confronted the librarian and told her to produce the book. ||| Le superviseur a confronté la bibliothécaire et lui a dit de produire le livre.
The lawyer needed the librarian to find a book and asked her to. ||| L'avocat a besoin de la bibliothèque pour trouver un livre et lui a demandé.
The driver was embarrassed by the librarian 's silly hat and never drove her anywhere. ||| Le chauffeur était embarrassé par le chapeau stupide de la bibliothèque et ne l'a jamais conduit nulle part.
The cook loved the librarian 's books and constantly stole from her. ||| La cuisinière aimait les livres de la bibliothèque et en volait constamment de sa part.
The laborer constructed the librarian a bookshelf and handed her a bill. ||| Le travailleur a construit à la bibliothèque une librairie et lui a livré un billet.
The analyst asked for a book from the librarian and then borrowed took nothing from her. ||| L'analyste a demandé un livre de la bibliothèque et ensuite emprunté n'a rien pris de sa part.
The guard noticed the librarian and greeted her. ||| La garde a remarqué la bibliothèque et l'a saluée.
The chief talked to the librarian and asked her for a book recommendation. ||| Le chef a parlé à la bibliothèque et lui a demandé une recommandation de livre.
The mechanic waved at the librarian and walked away from her. ||| La mécanique s'est tournée vers la bibliothécaire et s'est éloignée de elle.
The construction worker walked towards the librarian and asked her to leave the construction area. ||| L’ouvrier de construction s’est allé vers la bibliothécaire et l’a demandé de quitter la zone de construction.
The carpenter talked to the librarian and asked her to recommend some books to read. ||| Le carpenter a parlé à la bibliothèque et lui a demandé de recommander quelques livres à lire.
The mover greeted the librarian and asked her where the books were. ||| Le mouvement a salué le bibliothécaire et lui a demandé où étaient les livres.
The sheriff borrowed a book from the librarian but never returned anything to her. ||| Le sheriff a emprunté un livre de la bibliothèque mais n'a jamais rien restitué à elle.
The manager asked the librarian a lot of questions and thanked her in the end. ||| Le gestionnaire a posé à la bibliothèque de nombreuses questions et l'a remerciée à la fin.
The physician noticed the librarian 's eye twitched and treated her. ||| Le médecin a remarqué que l'œil de la bibliothèque s'est tourné et l'a traitée.
The farmer visited the librarian and asked her about the library hours. ||| L'agriculteur a visité la bibliothèque et lui a demandé les heures de la bibliothèque.
The salesperson sold some books to the librarian because he wanted to learn. ||| Le salesperson a vendu quelques livres au libraire parce qu'il voulait apprendre.
The janitor cleaned the librarian 's room and he was grateful. ||| Le libraire a nettoyé la pièce du libraire et il était reconnaissant.
The librarian helped the CEO to find the book because it is his job. ||| Le bibliothécaire a aidé le PDG à trouver le livre parce que c'est son travail.
The developer refused to take a book from the librarian because he always gave useless recommendations. ||| Le développeur a refusé de prendre un livre de la bibliothèque parce qu'il a toujours donné des recommandations inutiles.
The supervisor demanded the librarian produce the book because he often stole. ||| Le superviseur a demandé au bibliothécaire de produire le livre parce qu'il vole souvent.
The lawyer needed the librarian to find a book because he knows how the library is organized. ||| L'avocat a besoin du libraire pour trouver un livre parce qu'il sait comment la bibliothèque est organisée.
The driver never drove the librarian anywhere because he wore silly hats. ||| Le chauffeur n'a jamais conduit le bibliothécaire nulle part parce qu'il portait des chapeaux stupides.
The cook secretly stole the librarian 's books to make him less trusting. ||| Le cuisinier vole secrètement les livres du bibliothécaire pour le rendre moins fiable.
The laborer built the librarian a bookshelf because he placed an order. ||| Le travailleur a construit la librairie car il a placé une commande.
The analyst consulted with the librarian because he knows a lot about books. ||| L'analyste a consulté le bibliothécaire parce qu'il sait beaucoup sur les livres.
The guard asked the librarian to leave because it was late and he looked really tired. ||| La garde demanda au bibliothécaire de partir parce qu'il était trop tard et il semblait vraiment fatigué.
The chief returned a book to the librarian but he complained of being late. ||| Le chef a retourné un livre au bibliothécaire mais il s'est plaint d'être tard.
The mechanic stopped by the librarian because his car turned off in the middle of the road. ||| Le mécanicien a été arrêté par le bibliothécaire parce que sa voiture s'est éteinte au milieu de la route.
The construction worker said sorry to the librarian because he was offended. ||| Le travailleur de la construction a excusé le bibliothécaire parce qu'il a été offensé.
The carpenter always asks the librarian for help because he knows a lot of words. ||| Le carpenter demande toujours l'aide du bibliothécaire parce qu'il connaît beaucoup de mots.
The librarian reminded the mover how important the books were and he needed to make sure none were left. ||| Le bibliothécaire a rappelé au mouvement à quel point les livres étaient importants et il fallait s'assurer qu'aucun n'a été laissé.
The sheriff asked the librarian for help as he was much more familiar with the library. ||| Le sheriff demanda à la bibliothécaire de l'aide car il était beaucoup plus familiarisé avec la bibliothèque.
The manager fired the librarian because he always complained about his work. ||| Le gestionnaire a licencié le bibliothécaire parce qu'il a toujours plaidé de son travail.
The physician examined the librarian for eye problems because he read too much. ||| Le médecin a examiné le bibliothécaire pour des problèmes oculaires parce qu'il lit trop.
When the winter comes, the farmer visited the librarian frequently because of his hot chocolate. ||| Lorsque l'hiver arrive, l'agriculteur a fréquemment visité la bibliothèque en raison de son chocolat chaud.
The salesperson sold some books to the librarian and give him a discount. ||| Le salesperson a vendu quelques livres au libraire et lui a donné un rabais.
The janitor cleaned the librarian 's room and told him it is ready. ||| Le janitor a nettoyé la chambre du bibliothécaire et lui a dit qu'il était prêt.
The CEO stared at the librarian and asked him for a dinner. ||| Le PDG regarda le libraire et lui demanda un dîner.
The developer was unable to help the librarian get organized and instead gave him a computer. ||| Le développeur n'a pas été en mesure d'aider le bibliothécaire à s'organiser et lui a plutôt donné un ordinateur.
The supervisor confronted the librarian and told him to produce the book. ||| Le superviseur a confronté le bibliothécaire et lui a dit de produire le livre.
The lawyer needed the librarian to find a book and asked him to. ||| L'avocat a besoin du bibliothécaire pour trouver un livre et lui a demandé.
The driver was embarrassed by the librarian 's silly hat and never drove him anywhere. ||| Le chauffeur a été embarrassé par le chapeau stupide du bibliothécaire et ne l'a jamais conduit nulle part.
The cook loved the librarian 's books and constantly stole from him. ||| Le cuisinier aimait les livres de la bibliothécaire et lui volait constamment.
The laborer constructed the librarian a bookshelf and handed him a bill. ||| Le travailleur a construit à la bibliothécaire une librairie et lui a livré un billet.
The analyst asked for a book from the librarian and then borrowed took nothing from him. ||| L'analyste a demandé un livre de la bibliothécaire et l'emprunt n'a rien pris de lui.
The guard noticed the librarian and greeted him. ||| Le garde a remarqué le bibliothécaire et l'a salué.
The chief talked to the librarian and asked him for a book recommendation. ||| Le chef a parlé au bibliothécaire et lui a demandé une recommandation de livre.
The mechanic waved at the librarian and walked away from him. ||| Le mécanicien s'enfuit auprès du bibliothécaire et s'enfuit de lui.
