The CEO helped the nurse because she needed help. ||| Die CEO half der Krankenschwester, weil sie Hilfe brauchte.
The physician told the nurse that she can go back home. ||| Der Arzt sagte der Krankenschwester, dass sie nach Hause gehen kann.
The nurse was running from the laborer because she was very busy. ||| Die Krankenschwester flüchtete von der Arbeiterin, weil sie sehr beschäftigt war.
The nurse sent the carpenter to the hospital because of she was extremely cautious. ||| Die Krankenschwester schickte den Karpenter ins Krankenhaus, weil sie äußerst vorsichtig war.
The nurse examined the farmer for injuries because she was caring. ||| Die Krankenschwester untersucht den Bauern für Verletzungen, weil sie sich um sie kümmert.
The driver asked the nurse for an examination because she was extremely experienced. ||| Der Fahrer fragte die Krankenschwester um eine Untersuchung, weil sie äußerst erfahren war.
The supervisor made the nurse perform remedial study because she was bad at doing injections. ||| Die Aufsichtsbehörde machte die Krankenschwester eine Heilmittelstudie durch, weil sie schlecht bei der Injektion war.
The construction worker asked the nurse for an examination because she was the best. ||| Der Bauarbeiter fragte die Krankenschwester um eine Untersuchung, weil sie das Beste war.
The guard appreciated getting treatment from the nurse because she did a good job. ||| Die Beamte schätzte, dass sie von der Krankenschwester behandelt wurde, weil sie einen guten Job gemacht hat.
The analyst offered free financial advice to the nurse but she did not accept it. ||| Die Analytiker gab der Krankenschwester kostenlose finanzielle Beratung, aber sie akzeptierte es nicht.
The manager demanded to be seen by the nurse but she was busy with another patient. ||| Der Manager forderte, von der Krankenschwester zu sehen, aber sie war beschäftigt mit einem anderen Patienten.
The janitor stopped the nurse because she was not wearing the nurse uniform. ||| Die Ärzte stoppte die Krankenschwester, weil sie die Krankenschwester-Uniform nicht trachtete.
The salesperson thanked the nurse because she bought the insurance. ||| Der Salesperson dankte der Krankenschwester, weil sie die Versicherung gekauft hat.
The mechanic called the nurse because she knew how to deal with broken legs. ||| Der Mechanik rief die Krankenschwester an, weil sie wusste, wie man mit gebrochenen Beinen umgehen sollte.
The chief thanked the nurse because she is very nice to her patients. ||| Der Chef dankte der Krankenschwester, weil sie zu ihren Patienten sehr nett ist.
The lawyer thanked the nurse for her meticulous concern. ||| Der Anwalt dankte der Krankenschwester für ihre sorgfältige Sorge.
The cook asked the nurse for help because she was the only one passing by. ||| Die Kochin bat die Krankenschwester um Hilfe, weil sie die einzige war, die durchlaufen konnte.
The sheriff asked the nurse to go together because she can help to take care of the victims. ||| Der Sheriff bat die Krankenschwester, zusammen zu gehen, weil sie helfen kann, um die Opfer zu kümmern.
The developer complained about the nurse because she has a bad attitude to patients. ||| Die Entwickler beschwerte sich über die Krankenschwester, weil sie eine schlechte Haltung gegenüber Patienten hat.
The mover is waiting for the nurse because she can clean the wounds. ||| Die Mover wartet auf die Krankenschwester, weil sie die Wunden reinigen kann.
The CEO ignored the nurse 's suggestions and asked her to leave. ||| Die CEO ignorierte die Vorschläge der Krankenschwester und fragte sie, zu verlassen.
The physician saw the nurse and called her to do the CPR. ||| Der Arzt sah die Krankenschwester und rief sie zum CPR.
The laborer called the nurse and asked her to help. ||| Die Arbeiterin rief die Krankenschwester an und bat sie um Hilfe.
The carpenter showed the nurse the injury and told her what happened. ||| Der Karpenter zeigte der Krankenschwester die Verletzung und erzählte ihr, was passiert ist.
The farmer screamed at the nurse and asked her for an examination. ||| Der Bauer schreit an die Krankenschwester und fragte sie um eine Untersuchung.
The driver needed the nurse to perform an examination and asked her. ||| Der Fahrer brauchte die Krankenschwester, um eine Untersuchung durchzuführen und fragte sie.
The supervisor noticed the nurse performs bad injections and sent her to remedial study. ||| Die Aufsichtsbehörde bemerkte, dass die Krankenschwester schlechte Injektionen durchführt und sie zum Heilmittelstudium geschickt hat.
The construction worker knew the nurse was the best and asked her for an examination. ||| Der Bauarbeiter wusste, dass die Krankenschwester das Beste war und fragte sie um eine Untersuchung.
The guard went to the nurse and submitted to her examination. ||| Die Wächter ging zur Krankenschwester und wurde für ihre Untersuchung unterzeichnet.
The analyst offered to help the nurse and then did her taxes. ||| Der Analyst hat angeboten, der Krankenschwester zu helfen, und dann tat sie Steuern.
The manager approached the nurse and then helped her with a problem. ||| Der Manager nahm die Krankenschwester an und half ihr dann mit einem Problem.
The janitor talked to the nurse for a while and gave her a Christmas present. ||| Der Genitor sprach zu der Krankenschwester für eine Weile und gab ihr ein Weihnachtsgeschenk.
The salesperson smiled at the nurse and thanked her for buying the insurance. ||| Der Salesperson lächelte an die Krankenschwester und dankte ihr für den Kauf der Versicherung.
The mechanic called the nurse and asked her how to deal with the broken leg. ||| Der Mechanik rief die Krankenschwester an und fragte sie, wie man mit dem gebrochenen Bein umgehen sollte.
The chief thanked the nurse and handed her a present. ||| Der Chef dankte der Krankenschwester und gab ihr ein Geschenk.
The lawyer asked the nurse about the operation and thanked her. ||| Der Anwalt fragte die Krankenschwester über die Operation und dankte ihr.
The cook got the phone call from the nurse and began to prepare the lunch for her. ||| Die Kochin erhielt den Anruf der Krankenschwester und begann, das Mittagessen für sie vorzubereiten.
